epoch,oft_l1_c_to_pt_router_entropy,oft_l1_c_to_pt_transfer_mean,oft_l1_c_to_pt_transfer_std,oft_l1_c_to_pv_router_entropy,oft_l1_c_to_pv_transfer_mean,oft_l1_c_to_pv_transfer_std,oft_l1_pt_to_c_router_entropy,oft_l1_pt_to_c_transfer_mean,oft_l1_pt_to_c_transfer_std,oft_l1_pt_to_pv_router_entropy,oft_l1_pt_to_pv_transfer_mean,oft_l1_pt_to_pv_transfer_std,oft_l1_pv_to_c_router_entropy,oft_l1_pv_to_c_transfer_mean,oft_l1_pv_to_c_transfer_std,oft_l1_pv_to_pt_router_entropy,oft_l1_pv_to_pt_transfer_mean,oft_l1_pv_to_pt_transfer_std
42,0.6876,0.5482,0.0214,0.446,0.8258,0.0671,0.6313,0.3316,0.0426,0.532,0.7594,0.0826,0.5593,0.2505,0.0376,0.6582,0.3701,0.0191
43,0.6868,0.5519,0.0218,0.4505,0.8222,0.0697,0.63,0.3302,0.0446,0.5372,0.7539,0.0855,0.5571,0.2488,0.0393,0.6588,0.3713,0.0194
44,0.6848,0.5603,0.0228,0.4502,0.8224,0.07,0.639,0.3436,0.0451,0.5376,0.7535,0.0856,0.5717,0.2625,0.04,0.6633,0.3803,0.0204
45,0.6818,0.5716,0.0231,0.427,0.8362,0.0705,0.6388,0.3437,0.0463,0.5167,0.7698,0.0877,0.5724,0.2633,0.0409,0.6684,0.3913,0.0208
46,0.682,0.5701,0.0247,0.4434,0.8247,0.0758,0.641,0.3476,0.0479,0.5313,0.7558,0.0927,0.5762,0.2673,0.0424,0.6673,0.389,0.022
47,0.6803,0.5758,0.0252,0.4389,0.8265,0.0787,0.6447,0.3542,0.0497,0.5269,0.7579,0.0962,0.5827,0.2741,0.044,0.6694,0.3939,0.0224
48,0.6757,0.5896,0.0253,0.4212,0.8368,0.0793,0.6504,0.3641,0.0504,0.5104,0.7702,0.0981,0.5922,0.2842,0.0446,0.6748,0.4074,0.0229
49,0.6731,0.5959,0.027,0.4328,0.829,0.0826,0.6553,0.3734,0.0509,0.5212,0.7608,0.1005,0.6011,0.2941,0.0451,0.6771,0.4142,0.0243
50,0.6728,0.5966,0.0271,0.4288,0.8297,0.0872,0.6504,0.3651,0.0529,0.5168,0.7617,0.1059,0.5937,0.2862,0.0464,0.6771,0.414,0.0243
51,0.668,0.608,0.028,0.3989,0.8471,0.0861,0.6562,0.3764,0.0542,0.4891,0.7826,0.1065,0.604,0.298,0.0474,0.68,0.4231,0.0252
52,0.6667,0.6107,0.0287,0.4342,0.8237,0.0951,0.658,0.3806,0.0555,0.5213,0.7543,0.1138,0.6067,0.3014,0.0485,0.6812,0.4274,0.0256
53,0.6656,0.6126,0.0308,0.4257,0.827,0.0997,0.6584,0.3822,0.0571,0.512,0.759,0.1191,0.6091,0.3046,0.0496,0.6813,0.4283,0.0272
54,0.6635,0.6166,0.0318,0.4118,0.8338,0.1026,0.6559,0.3776,0.0578,0.4974,0.7683,0.1231,0.6058,0.3007,0.0499,0.6824,0.4324,0.028
55,0.6613,0.6209,0.033,0.4274,0.8225,0.1082,0.6627,0.3929,0.0595,0.5108,0.7553,0.1276,0.6171,0.315,0.0514,0.6836,0.4375,0.0291
56,0.6595,0.6241,0.0344,0.4196,0.8261,0.111,0.6661,0.4024,0.062,0.5034,0.7595,0.1309,0.6235,0.3238,0.0534,0.6835,0.4375,0.0302
57,0.6589,0.6251,0.0352,0.3996,0.837,0.1116,0.6562,0.3812,0.0639,0.4847,0.7722,0.1335,0.6074,0.3038,0.0542,0.6825,0.4342,0.0308
58,0.6539,0.6338,0.0372,0.4054,0.8312,0.1177,0.6568,0.3832,0.0652,0.4896,0.7651,0.1394,0.6089,0.3058,0.0549,0.6839,0.4407,0.0326
59,0.6538,0.6339,0.0373,0.3924,0.8401,0.1141,0.6606,0.3929,0.0678,0.4781,0.7755,0.1365,0.6162,0.3154,0.0569,0.684,0.4411,0.0326
60,0.6525,0.6361,0.0383,0.3922,0.8385,0.1178,0.6604,0.3938,0.0696,0.4775,0.7734,0.1407,0.6156,0.3151,0.0581,0.6833,0.4386,0.0335
61,0.6459,0.6467,0.0404,0.3899,0.8372,0.1233,0.6592,0.3909,0.0695,0.4742,0.7721,0.1467,0.6138,0.3126,0.0574,0.6846,0.4452,0.0355
62,0.6477,0.6435,0.0409,0.3879,0.8376,0.125,0.6554,0.3836,0.0707,0.4721,0.7725,0.1486,0.6092,0.3069,0.0577,0.6841,0.4432,0.0359
63,0.6429,0.6507,0.0433,0.3836,0.8399,0.1251,0.658,0.3915,0.0743,0.4681,0.775,0.1492,0.6136,0.3133,0.0604,0.6847,0.4476,0.0379
64,0.6384,0.6574,0.044,0.3545,0.8559,0.1228,0.6587,0.3946,0.0764,0.4389,0.7951,0.1487,0.6142,0.3144,0.0618,0.6849,0.4491,0.039
65,0.6364,0.6601,0.0454,0.347,0.8594,0.1234,0.6525,0.3808,0.0759,0.4308,0.8,0.1495,0.6055,0.3033,0.0603,0.6846,0.449,0.0403
66,0.6303,0.6684,0.0469,0.3697,0.8429,0.1341,0.6575,0.3925,0.0775,0.4509,0.7807,0.1592,0.6138,0.3138,0.0615,0.6862,0.459,0.042
67,0.6292,0.6702,0.0464,0.3508,0.8542,0.1307,0.6548,0.3895,0.0815,0.4328,0.7941,0.157,0.6094,0.3095,0.0645,0.6857,0.4557,0.042
68,0.6156,0.6877,0.0481,0.3376,0.86,0.132,0.6595,0.4022,0.0837,0.4181,0.8022,0.159,0.6172,0.3199,0.0663,0.6869,0.4668,0.0446
69,0.6214,0.6798,0.0491,0.386,0.8252,0.1515,0.6518,0.3838,0.0824,0.4628,0.7611,0.1755,0.6051,0.3042,0.0646,0.6865,0.4643,0.0449
70,0.601,0.7043,0.0505,0.35,0.8488,0.1432,0.6529,0.3884,0.0854,0.4268,0.7904,0.1691,0.6098,0.3107,0.0669,0.6883,0.4893,0.0479
71,0.6156,0.6864,0.0524,0.4028,0.8009,0.1757,0.6618,0.4199,0.0948,0.4701,0.7381,0.1969,0.6237,0.3332,0.0767,0.6867,0.4709,0.0485
72,0.6086,0.695,0.0522,0.3555,0.8391,0.1564,0.6511,0.3911,0.0935,0.4262,0.7829,0.1808,0.6079,0.3113,0.0743,0.6878,0.4851,0.0492
73,0.5975,0.7063,0.0574,0.392,0.8077,0.1757,0.6411,0.3726,0.096,0.4586,0.7473,0.197,0.596,0.2976,0.0756,0.6871,0.4944,0.0546
74,0.5905,0.7132,0.0597,0.4166,0.7792,0.1945,0.6497,0.396,0.1023,0.4763,0.718,0.2128,0.6081,0.315,0.0826,0.6864,0.5049,0.0576
75,0.6125,0.6878,0.0599,0.3808,0.8097,0.1825,0.6471,0.3965,0.1086,0.4427,0.7534,0.2039,0.6049,0.3137,0.0884,0.686,0.4797,0.0561
76,0.6152,0.684,0.061,0.3441,0.8384,0.1685,0.6374,0.3774,0.1103,0.4081,0.7868,0.192,0.5918,0.2983,0.0889,0.6851,0.4729,0.0571
77,0.5961,0.7061,0.0627,0.4032,0.7847,0.199,0.6288,0.3606,0.1088,0.4607,0.7264,0.2178,0.5807,0.2851,0.0868,0.6856,0.4962,0.0609
78,0.6001,0.7004,0.0661,0.4348,0.749,0.2159,0.6032,0.3228,0.1092,0.4868,0.6881,0.2308,0.5505,0.2551,0.0855,0.6848,0.4892,0.0633
79,0.6159,0.6808,0.0669,0.4133,0.7693,0.2101,0.6066,0.3292,0.1121,0.4662,0.7129,0.2265,0.5556,0.2609,0.0884,0.6841,0.4772,0.0629
80,0.6236,0.6698,0.0687,0.3618,0.8177,0.1871,0.6167,0.3494,0.1195,0.418,0.7685,0.2073,0.568,0.276,0.0959,0.6829,0.4683,0.0636
81,0.6409,0.6412,0.0735,0.4137,0.7595,0.2212,0.6055,0.3375,0.1255,0.4612,0.7068,0.2359,0.5557,0.266,0.1008,0.6778,0.4428,0.0656
82,0.633,0.6523,0.0764,0.4206,0.7514,0.2251,0.5891,0.3137,0.1227,0.466,0.6997,0.2384,0.5368,0.2474,0.0974,0.68,0.4582,0.0691
83,0.6391,0.6391,0.0822,0.4379,0.7254,0.2376,0.5887,0.3142,0.1243,0.4779,0.6749,0.248,0.538,0.249,0.0989,0.6779,0.4529,0.0728
84,0.6476,0.622,0.0846,0.4186,0.7439,0.2345,0.5838,0.3116,0.1292,0.4589,0.6974,0.2458,0.5334,0.2468,0.1032,0.6754,0.442,0.0733
85,0.6508,0.6119,0.0892,0.4238,0.7278,0.2462,0.592,0.329,0.1382,0.4606,0.6833,0.2554,0.5426,0.2592,0.1127,0.672,0.4324,0.0764
86,0.6528,0.6032,0.0941,0.421,0.7284,0.2475,0.5986,0.346,0.1468,0.4567,0.6849,0.2568,0.5511,0.2718,0.1218,0.6685,0.4244,0.0799
87,0.654,0.5955,0.099,0.4084,0.7474,0.2388,0.5705,0.3068,0.1443,0.4466,0.7039,0.2498,0.5179,0.2395,0.1166,0.6636,0.413,0.0831
88,0.6497,0.6048,0.1,0.3981,0.7657,0.227,0.5598,0.2927,0.1415,0.4386,0.7229,0.2395,0.5057,0.228,0.1127,0.6664,0.423,0.0848
89,0.6563,0.5827,0.1047,0.433,0.717,0.2488,0.5617,0.2984,0.1465,0.4676,0.6727,0.2573,0.5085,0.2324,0.1177,0.6599,0.4064,0.0864
90,0.6543,0.5875,0.1052,0.4088,0.7434,0.2423,0.5818,0.3264,0.151,0.4449,0.7019,0.2525,0.5286,0.2519,0.1235,0.6608,0.4101,0.0878
91,0.66,0.5643,0.1092,0.411,0.7339,0.2496,0.5624,0.308,0.1574,0.4458,0.6921,0.2594,0.5075,0.2364,0.1281,0.6504,0.3864,0.0889
92,0.6489,0.5988,0.1073,0.3735,0.778,0.2314,0.5591,0.3042,0.1575,0.4115,0.7394,0.2442,0.5042,0.2336,0.1278,0.6627,0.4184,0.0907
93,0.6524,0.578,0.1164,0.3994,0.7437,0.2491,0.5474,0.294,0.1612,0.4351,0.7027,0.2593,0.4908,0.2243,0.1303,0.6499,0.3909,0.0954
94,0.652,0.5783,0.1169,0.4138,0.7248,0.256,0.5387,0.2848,0.1611,0.4462,0.6851,0.2643,0.485,0.2197,0.1297,0.6533,0.3991,0.096
95,0.646,0.5972,0.1148,0.4019,0.7393,0.2517,0.5548,0.303,0.162,0.4343,0.7027,0.26,0.5028,0.2346,0.132,0.6618,0.4221,0.0961
96,0.6532,0.5597,0.1251,0.4019,0.7293,0.2604,0.5482,0.3076,0.1754,0.432,0.6939,0.268,0.4988,0.2389,0.1464,0.6446,0.3842,0.1004
97,0.6534,0.5413,0.132,0.4322,0.6695,0.2839,0.5604,0.3273,0.1798,0.4553,0.6356,0.2872,0.5122,0.2541,0.1528,0.6366,0.3726,0.1051
98,0.6441,0.5709,0.1357,0.4149,0.6982,0.2763,0.5421,0.3056,0.1805,0.439,0.6675,0.2806,0.4956,0.2396,0.1518,0.6486,0.4049,0.112
99,0.6413,0.576,0.1377,0.4234,0.6863,0.279,0.5117,0.2729,0.1794,0.4458,0.6574,0.2821,0.4689,0.2174,0.1486,0.6526,0.4187,0.1142
100,0.6451,0.5564,0.1407,0.4285,0.6685,0.287,0.5051,0.2701,0.1835,0.4491,0.6413,0.2885,0.4635,0.2158,0.1531,0.647,0.4048,0.1151
101,0.6482,0.5333,0.1431,0.4298,0.6607,0.291,0.5199,0.2897,0.1891,0.4498,0.6345,0.2917,0.4761,0.2295,0.1607,0.6376,0.3837,0.115
102,0.6474,0.5175,0.1473,0.4249,0.6674,0.2903,0.5024,0.2784,0.1958,0.4453,0.6411,0.2915,0.4582,0.22,0.1673,0.6283,0.3681,0.117
103,0.6435,0.527,0.1516,0.385,0.7374,0.2653,0.4793,0.2597,0.1987,0.4093,0.712,0.2702,0.435,0.2046,0.1689,0.6291,0.3742,0.1219
104,0.6423,0.4952,0.156,0.4019,0.704,0.2808,0.4552,0.2394,0.1984,0.4232,0.6793,0.2839,0.4138,0.1899,0.1673,0.6171,0.3546,0.1228
105,0.6397,0.5231,0.158,0.3902,0.7246,0.2728,0.4842,0.2641,0.1987,0.412,0.7017,0.2762,0.4393,0.2079,0.1693,0.6295,0.3809,0.1277
106,0.6324,0.4725,0.1681,0.4419,0.6031,0.3093,0.4819,0.2672,0.2043,0.4565,0.5818,0.307,0.4403,0.213,0.1765,0.6069,0.347,0.132
107,0.6206,0.4233,0.1691,0.4419,0.5738,0.3175,0.4563,0.2455,0.2045,0.4544,0.5556,0.314,0.4165,0.1965,0.1756,0.581,0.3107,0.1292
108,0.6278,0.4607,0.1719,0.4178,0.6389,0.3095,0.4855,0.2783,0.2118,0.4322,0.6226,0.3079,0.4434,0.2219,0.1868,0.6017,0.3424,0.1354
109,0.626,0.4549,0.1729,0.4138,0.6525,0.3053,0.4795,0.2771,0.2162,0.4281,0.6377,0.3038,0.4392,0.2226,0.1921,0.6013,0.3428,0.1364
110,0.6168,0.4185,0.1719,0.4137,0.651,0.3061,0.434,0.2355,0.2134,0.4274,0.6373,0.3044,0.399,0.1916,0.1861,0.5837,0.3168,0.133
111,0.6237,0.4468,0.1736,0.3974,0.6881,0.2946,0.4399,0.2384,0.2113,0.4116,0.6752,0.2938,0.4044,0.1936,0.1837,0.5992,0.3398,0.1363
112,0.6212,0.4464,0.1768,0.4348,0.5989,0.3147,0.4516,0.249,0.2127,0.4462,0.5878,0.3113,0.4165,0.2033,0.1868,0.6008,0.3455,0.1401
113,0.6114,0.4162,0.1777,0.4445,0.562,0.3185,0.4514,0.2509,0.215,0.4547,0.5523,0.3143,0.4164,0.205,0.1893,0.5844,0.3227,0.1394
114,0.6147,0.4257,0.1777,0.4194,0.6292,0.3126,0.4672,0.2689,0.2191,0.4309,0.6197,0.3097,0.429,0.2173,0.1946,0.5877,0.3273,0.1399
