receiver_i,label_i,indegree,correct_joint,CE_joint,CE_text_all,CE_visual_all,CE_null_all,CE_exact_os,CE_first_os,CE_second_os,dCE_text_all,dCE_visual_all,dCE_null_all,dCE_exact_os,dCE_first_os,dCE_second_os,G_local_exact,G_local_first,G_global_exact,G_global_first,G_global_second
705,1,4,True,0.05390348,0.14553796,0.13084367,0.34300250,0.01503916,0.01503916,0.01607717,0.09163448,0.07694019,0.28909904,-0.03886432,-0.03886432,-0.03782631,0.03886444,0.03886444,0.03886432,0.03886432,0.03782631
7452,9,5,True,0.00394887,0.01599352,0.00711053,0.02745048,0.00394887,0.00394887,0.00394887,0.01204465,0.00316166,0.02350162,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
3633,4,3,False,2.85056400,2.64376688,2.74382567,2.60202694,2.60202694,2.60202694,2.60202694,-0.20679712,-0.10673833,-0.24853706,-0.24853706,-0.24853706,-0.24853706,0.48600388,0.48600388,0.24853706,0.24853706,0.24853706
1467,1,1,True,0.93735749,1.95061612,1.47920632,2.66429019,0.93735749,0.93735749,0.93735749,1.01325870,0.54184884,1.72693276,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6838,9,13,True,0.10374435,0.55304688,0.34444273,0.50222462,0.09239530,0.09239541,0.09701258,0.44930252,0.24069837,0.39848027,-0.01134905,-0.01134894,-0.00673177,0.01189680,0.01189680,0.01134905,0.01134894,0.00673177
6316,8,1,True,0.00393260,0.00952261,0.00348473,0.00842659,0.00348473,0.00348473,0.00348473,0.00559001,-0.00044787,0.00449399,-0.00044787,-0.00044787,-0.00044787,0.00044787,0.00044787,0.00044787,0.00044787,0.00044787
13595,15,19,True,0.00045980,0.05399564,0.00070773,0.07748447,0.00039844,0.00039844,0.00039844,0.05353584,0.00024793,0.07702467,-0.00006137,-0.00006137,-0.00006137,0.00006446,0.00006446,0.00006137,0.00006137,0.00006137
3511,5,14,True,0.59648001,0.60248113,1.65309346,1.24802852,0.53446221,0.53446209,0.53446209,0.00600111,1.05661345,0.65154850,-0.06201780,-0.06201792,-0.06201792,0.19765550,0.19765550,0.06201780,0.06201792,0.06201792
16425,19,7,False,1.67173529,2.59674335,1.37032294,2.18162441,1.32680738,1.32680738,1.32680738,0.92500806,-0.30141234,0.50988913,-0.34492791,-0.34492791,-0.34492791,0.36559176,0.36559176,0.34492791,0.34492791,0.34492791
14875,15,8,True,0.26767179,0.91513634,0.22197290,0.74960059,0.17602775,0.17602775,0.17602775,0.64746451,-0.04569890,0.48192880,-0.09164405,-0.09164405,-0.09164405,0.10492994,0.10492994,0.09164405,0.09164405,0.09164405
