dataset,train_seed,analysis_seed,receiver_i,neighbor_j,neighbor_k,edge_id_j,edge_id_k,alpha_j,alpha_k,norm_deltaV_j,norm_deltaV_k,label_i,S_exact_real,S_norm_real,S_second_real,Q_best_real,Q_text_sh,Q_visual_sh,Q_joint_sh,S_exact_sh,S_norm_sh,S_second_sh,Q_best_sh,receiver_correct_full
Grocery,42,12345,16865,13230,17026,111799,141793,0.07453560084104538,0.17407765984535217,0.7197265625,1.3324625492095947,18,0.0007852017879486084,0.00606193020939827,0.0008694932618298623,0.06437239050865173,-0.009599924087524414,0.26356178522109985,0.2594333291053772,0.005471467971801758,0.010273223742842674,0.007102899384509561,0.26356178522109985,True
Grocery,42,12345,16865,17026,13230,141793,111799,0.17407765984535217,0.07453560084104538,1.3324625492095947,0.7197265625,18,-0.027035504579544067,-0.04050064459443092,-0.034868268784361695,0.3202486038208008,0.03041592240333557,0.07139351963996887,0.09557342529296875,-0.006236016750335693,-0.031593501567840576,-0.007118258311455279,0.09557342529296875,True
Grocery,42,12345,8131,6755,7516,46405,52928,0.04981354996562004,0.04981354996562004,0.49983325600624084,0.580950915813446,10,4.547473508864641e-13,1.583928366244436e-07,-1.1296302756379386e-07,1.4305051081464626e-06,4.7683488446637057e-07,7.152525540732313e-07,1.1920878932869527e-06,4.547473508864641e-13,1.8993904404851492e-07,-8.178798643252273e-08,1.1920878932869527e-06,True
Grocery,42,12345,8131,7703,7516,54444,52928,0.1270001232624054,0.04981354996562004,0.6192066669464111,0.580950915813446,10,-3.5762423067353666e-07,-0.06111956760287285,-4.958095080650646e-07,2.7417995625000913e-06,1.3112953638483305e-06,9.536693141853902e-07,2.0265483726689126e-06,-2.3841630536480807e-07,-0.05542615056037903,-2.4136049551197295e-07,2.0265483726689126e-06,True
Grocery,42,12345,8131,7516,6755,52928,46405,0.04981354996562004,0.04981354996562004,0.580950915813446,0.49983325600624084,10,4.547473508864641e-13,1.8993904404851492e-07,-8.606246722405347e-08,1.1920878932869527e-06,4.7683488446637057e-07,9.536697689327411e-07,1.4305051081464626e-06,4.547473508864641e-13,1.583928366244436e-07,-1.1881299098077726e-07,1.4305051081464626e-06,True
Grocery,42,12345,6303,5314,5348,34729,34987,0.05103103443980217,0.04902903363108635,0.40070801973342896,0.5095326900482178,8,9.407103061676025e-05,0.012145379558205605,0.00010189227740027606,0.0038256682455539703,-0.000551179051399231,0.011714138090610504,0.011376824229955673,0.00021386519074440002,0.009045927785336971,0.00025660302217441833,0.011714138090610504,True
Grocery,42,12345,6303,5348,5314,34987,34729,0.04902903363108635,0.05103103443980217,0.5095326900482178,0.40070801973342896,8,0.00040787458419799805,0.01739457994699478,0.0004643759734691399,0.011520244181156158,-0.0009877029806375504,0.003762105479836464,0.0029320362955331802,0.00015763379633426666,0.020520279183983803,0.00016522130768935783,0.003762105479836464,True
Grocery,42,12345,6303,5874,5314,39504,34729,0.033407654613256454,0.05103103443980217,0.40182676911354065,0.40070801973342896,8,0.0001641400158405304,0.010357308201491833,0.00018535914598271155,0.007841799408197403,-0.0005684681236743927,0.0038222409784793854,0.003351271152496338,9.749829769134521e-05,0.012593441642820835,0.00010559763721411627,0.0038222409784793854,True
Grocery,42,12345,1308,779,454,3329,1950,0.3162277638912201,0.28867512941360474,2.1058802604675293,2.237576723098755,1,-0.001101731788367033,-0.11934685707092285,-0.0027415973303530623,0.004064800217747688,0.00479853805154562,0.01134319044649601,0.012597385793924332,-0.003544342704117298,-0.12332814186811447,-0.008996785951174724,0.012597385793924332,True
Grocery,42,12345,1308,454,779,1950,3329,0.28867512941360474,0.3162277638912201,2.237576723098755,2.1058802604675293,1,-0.004626019857823849,-0.14144082367420197,-0.011921068170663376,0.014040185138583183,0.0027266922406852245,0.002820247318595648,0.004435565322637558,-0.0011113742366433144,-0.11133208870887756,-0.0025981986854213424,0.004435565322637558,True
