dataset,train_seed,analysis_seed,receiver_i,neighbor_j,edge_id,label_i,label_j,degree_i,degree_j,edge_norm,receiver_degree_bin,receiver_correct_full,full_confidence,sim_text,sim_visual,L_null,L_text,L_visual,L_joint,Q_text,Q_visual,Q_joint,S_exact,S_norm,Q_text_1,Q_visual_1,Q_joint_1,Q_text_2,Q_visual_2,Q_joint_2,S_second,best_exact,best_first,best_second
Grocery,42,12345,15843,16916,141013,17,17,5,265,0.027472112327814102,2,True,0.8947072625160217,0.9214911460876465,0.8455545902252197,0.12991280853748322,0.12659798562526703,0.11420875042676926,0.11125869303941727,0.0033148229122161865,0.01570405811071396,0.01865411549806595,-0.0003647655248641968,-0.009682410396635532,0.003430836586162082,0.016825267095001338,0.02025610368116342,0.003312514116843022,0.01564983776622588,0.018561913373246947,-0.0004004385098219567,3,3,3
Grocery,42,12345,1285,181,844,0,0,4,1,0.5,1,True,0.9476136565208435,0.9514845609664917,0.9218428730964661,0.40875962376594543,0.18922683596611023,0.14657022058963776,0.053808365017175674,0.2195327877998352,0.2621893882751465,0.35495126247406006,-0.12677091360092163,-0.15151779353618622,0.34145245451353906,0.48500209360844837,0.8264545481219875,0.175015580931843,0.1545842573229157,0.05143429912414499,-0.2781655391306137,3,3,1
Grocery,42,12345,2298,3089,14045,5,5,7,6,0.15430335700511932,2,True,0.9991075396537781,0.9978885650634766,0.7535226345062256,0.0020362851209938526,0.0011875727213919163,0.0015324526466429234,0.0008928364841267467,0.0008487123996019363,0.0005038324743509293,0.001143448636867106,-0.00020909623708575964,-0.08377241343259811,0.0011175132895402825,0.0006089099115632338,0.0017264232011035162,0.0007912577522440891,0.0004898058297990156,0.0009531024600097342,-0.0003279611220333705,3,3,3
Grocery,42,12345,10377,8664,63103,12,12,9,8,0.1178511381149292,2,True,0.9832690954208374,0.9753139019012451,0.7103365063667297,0.0197649747133255,0.014235024340450764,0.023687703534960747,0.016872432082891464,0.005529950372874737,-0.003922728821635246,0.0028925426304340363,0.0012853210791945457,0.10411477833986282,0.0066505761449626045,-0.003466709793180043,0.0031838663517825615,0.005372661515146761,-0.003881686219586241,0.0028690189750919842,0.0013780436795314643,1,1,1
Grocery,42,12345,6095,4744,29566,7,7,20,34,0.0383482500910759,3,True,0.8311856389045715,0.9536513090133667,0.8446440696716309,0.22650228440761566,0.22710156440734863,0.18446438014507294,0.1849021315574646,-0.0005992799997329712,0.042037904262542725,0.04160015285015106,0.0001615285873413086,0.0019175412598997355,-0.0005600346708699924,0.04606907275117607,0.04550903808030607,-0.0005990090174702472,0.04184119293306325,0.041415842834766486,0.00017365891917348053,2,2,2
Grocery,42,12345,14129,3417,16153,16,5,55,312,0.007633809931576252,3,True,0.9987006187438965,0.8922576904296875,0.8533388376235962,0.001302347518503666,0.0012855607783421874,0.0013173482147976756,0.0013002045452594757,1.678674016147852e-05,-1.5000696294009686e-05,2.142973244190216e-06,3.5692937672138214e-07,0.010516353882849216,1.7148030429608542e-05,-1.4877137760969748e-05,2.2708926686387927e-06,1.685308532462131e-05,-1.5021866834925092e-05,2.0973942075273816e-06,2.661757178311638e-07,1,1,1
Grocery,42,12345,13788,13194,110804,16,16,23,75,0.024077171459794044,3,True,0.9974019527435303,0.9149181842803955,0.895645022392273,0.002961775055155158,0.00298816105350852,0.0025810045190155506,0.002601455431431532,-2.6385998353362083e-05,0.00038077053613960743,0.00036031962372362614,5.935085937380791e-06,0.007733150385320187,-2.417605556657305e-05,0.0004108658190456706,0.0003866897634790974,-2.637365504206741e-05,0.0003790559946848361,0.00035881217193441844,6.129832291649725e-06,2,2,2
Grocery,42,12345,5187,12192,103146,8,14,11,32,0.05330017954111099,3,True,0.984623372554779,0.7661457061767578,0.8564465641975403,0.016894351691007614,0.017969664186239243,0.014567445032298565,0.0154960872605443,-0.0010753124952316284,0.0023269066587090492,0.001398264430463314,0.00014667026698589325,0.030553165823221207,-0.0010407824493054276,0.0025146307181712845,0.0014738482688658576,-0.0010745833764443712,0.002316504492953211,0.0013948185249982657,0.00015289740848942624,2,2,2
Grocery,42,12345,3414,2771,12175,3,3,7,6,0.15430335700511932,2,True,0.9909340143203735,0.9540995359420776,0.908728301525116,0.01547930296510458,0.010238979011774063,0.013770224526524544,0.009107356891036034,0.005240323953330517,0.0017090784385800362,0.006371946074068546,-0.0005774563178420067,-0.04334815591573715,0.006390022557232492,0.0018697121966126705,0.008259734753845165,0.005079656140653291,0.0017030846586189247,0.006014956123175195,-0.0007677846760970209,3,3,3
Grocery,42,12345,3095,3051,13789,4,4,3,3,0.3333333432674408,1,True,0.4167175590991974,0.779211163520813,0.8006938695907593,1.1569252014160156,1.173464059829712,0.8577269315719604,0.8753466010093689,-0.01653885841369629,0.2991982698440552,0.28157860040664673,-0.0010808110237121582,-0.0018094468396157026,-0.015180584412918353,0.4679688536644713,0.45278826925155286,-0.01657337291164389,0.23959271401982818,0.22236205232598882,-0.0006572887821954532,2,2,2
Grocery,42,12345,16519,16122,136667,19,19,1,8,0.3535533845424652,0,False,0.5592057704925537,0.9981104731559753,0.8855764865875244,4.656243324279785,4.700826168060303,4.384483337402344,4.446998596191406,-0.04458284378051758,0.2717599868774414,0.2092447280883789,-0.017932415008544922,-0.03411879763007164,-0.034143350525071794,0.40028534875077537,0.3661419982257035,-0.044415981676870414,0.2228297583634087,0.14968663926752765,-0.028727137419010645,2,2,2
Grocery,42,12345,14116,14919,129299,15,15,3,4,0.28867512941360474,1,True,0.9439255595207214,0.9474256038665771,0.874230682849884,0.2266187071800232,0.17032119631767273,0.07771589607000351,0.05770796164870262,0.056297510862350464,0.1489028036594391,0.16891074180603027,-0.03628957271575928,-0.09700214117765427,0.06460666569269645,0.2409111010601015,0.30551776675279807,0.055592875653243126,0.11823078339180076,0.11155504621402307,-0.06226861283102082,3,3,2
Grocery,42,12345,11331,11226,93775,13,13,6,43,0.06225728243589401,2,True,0.9324039220809937,0.9839140176773071,0.8824527859687805,0.08029063045978546,0.0812060609459877,0.06945380568504333,0.06998913735151291,-0.00091543048620224,0.010836824774742126,0.010301493108272552,0.000380098819732666,0.017235103994607925,-0.0005276128974213284,0.011766788756313963,0.011239175858892638,-0.0009355616444042299,0.010782547888284921,0.010223668936445331,0.00037668269256463903,2,2,2
Grocery,42,12345,9396,9100,68144,12,12,38,62,0.020602142438292503,3,True,0.9995282888412476,0.961406946182251,0.9448933601379395,0.000521523819770664,0.0004970983718521893,0.0004950728034600616,0.00047183825518004596,2.4425447918474674e-05,2.6451016310602427e-05,4.9685564590618014e-05,-1.1908996384590864e-06,-0.011841260828077793,2.51035612304125e-05,2.721372598913501e-05,5.2317287219547503e-05,2.4467366076357543e-05,2.6456113518624773e-05,4.965331574506774e-05,-1.270163849914576e-06,3,3,3
Grocery,42,12345,12673,10691,86602,14,12,15,145,0.021442251279950142,3,True,0.9850768446922302,0.9404758810997009,0.7189084887504578,0.014734260737895966,0.014755051583051682,0.015017430298030376,0.015035632066428661,-2.0790845155715942e-05,-0.00028316956013441086,-0.00030137132853269577,2.5890767574310303e-06,0.0042770495638251305,-1.6053638220350094e-05,-0.0002754884276771674,-0.00029154206589751747,-2.071041785961173e-05,-0.00028315775715788416,-0.0003014208959605917,2.447279056904197e-06,0,0,0
Grocery,42,12345,143,3535,16903,1,4,7,87,0.04052204638719559,2,True,0.9846653342247009,0.6821432113647461,0.5173702836036682,0.015507942996919155,0.016379306092858315,0.014664365909993649,0.015453479252755642,-0.0008713630959391594,0.0008435770869255066,5.4463744163513184e-05,8.224975317716599e-05,0.04648417979478836,-0.0008429137926964606,0.0009289148114096671,8.600101871320611e-05,-0.0008707006561189357,0.0008420328427147742,5.521648120123558e-05,8.388429460539715e-05,2,2,2
Grocery,42,12345,1058,1070,4505,1,1,13,14,0.07412493228912354,3,True,0.9998918771743774,0.9899686574935913,0.9803832173347473,0.00015829740732442588,0.0001392267586197704,0.0001234931987710297,0.0001081169830285944,1.907064870465547e-05,3.4804208553396165e-05,5.018042429583147e-05,-3.694432962220162e-06,-0.035501111298799515,2.0763361347280905e-05,3.97336046141185e-05,6.049696596139941e-05,1.894119352368705e-05,3.4397469331702485e-05,4.8897773676372245e-05,-4.4408891790172896e-06,3,3,3
Grocery,42,12345,1922,1593,6634,1,1,1,1,1.0,0,False,0.9107251167297363,0.9817543625831604,0.9678562879562378,2.345832586288452,3.056912899017334,5.187987804412842,5.5429887771606445,-0.7110803127288818,-2.8421552181243896,-3.1971561908721924,0.3560793399810791,0.05274943262338638,-0.4060028781175795,-2.2199593973555567,-2.6259622754731358,-0.7607135561631287,-3.4046403954649556,-4.10369203178705,0.06166191984103442,0,0,0
